micrograph_no,brief_description,keywords,categories,system,composition,standard_codes,reaction,processing,applications,sample_preparation,technique,length_bar,further_information,contributor,organisation,image_url,image_local_path,page_url
11,"Cu 70, Ni 30 (wt%), cored dendrites","alloy , copper, coring , dendrite , metal, nickel, partition coefficient",Metal or alloy,Cu-Ni,"Cu 70, Ni 30 (wt%)",,,Chill cast,,Etched in NH4OH/H2O2,Reflected light microscopy,80 μm,"This alloy is typical of many copper based alloy systems. The dendrite structure shows coring (variation in solute concentration). The light areas are rich in nickel and the darker areas are low in nickel. Chill casting extracts heat quickly enough to prevent significant solid state diffusion, resulting in cored dendrites. The centres of the dendrites that cool near the liquidus temperature, are nickel rich compared to the outer layers that solidify at progressively lower temperatures. Because the partition coefficient is positive the outer layers solidify with progressively lower nickel concentrations. The observed pattern results from the intersection of the plane of polish and the randomly orientated regions of equal solute concentration.",Prof T W Clyne,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000011.jpg,./miclib_output/images/000011.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=11
12,"Cu 21, Sn 79 (wt%), peritectic transformation","alloy , bronze , copper, metal, peritectic reaction , tin",Metal or alloy,Cu-Sn,"Cu 21, Sn 79 (wt%)",,,As-cast (sand mould),,,Reflected light microscopy,400 μm,"This microstructure is generated via a peritectic reaction (L+e = eta), which bears some similarities to the more familiar eutectic reaction (L = a + b). Upon cooling from the liquid phase field, primary e is formed, which can be seen here as a slightly darker phase than the sheath of h surrounding it. The h sheath is the product of a peritectic reaction between e and liquid. The peritectic reaction rarely goes to completion, since the formation of h around the e phase separates it from the liquid and inhibits further growth. Eventually, the remaining liquid transforms by a eutectic reaction to h and Sn. In this micrograph, the constituents of the eutectic mixture cannot be distinguished and it appears uniformly dark.",Prof T W Clyne,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000012.jpg,./miclib_output/images/000012.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=12
13,"Cu 21, Sn 79 (wt%), peritectic transformation","alloy , bronze , copper, metal, peritectic reaction , tin",Metal or alloy,Cu-Sn,"Cu 21, Sn 79 (wt%)",,,As-cast (sand mould),,,Reflected light microscopy,80 μm,"This microstructure is generated via a peritectic reaction (L+e = eta), which bears some similarities to the more familiar eutectic reaction (L = a + b). Upon cooling from the liquid phase field, primary e is formed, which can be seen here as a slightly darker phase than the sheath of h surrounding it. The h sheath is the product of a peritectic reaction between e and liquid. The peritectic reaction rarely goes to completion, since the formation of h around the e phase separates it from the liquid and inhibits further growth. Eventually, the remaining liquid transforms by a eutectic reaction to h and Sn. In this micrograph, the constituents of the eutectic mixture cannot be distinguished and it appears uniformly dark.",Prof T W Clyne,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000013.jpg,./miclib_output/images/000013.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=13
14,"Fe, C 0.8 (wt%), eutectoid transformation - pearlite (coarse)","alloy , austenite , carbon, cementite , eutectoid reaction , ferrite , iron, lamella , metal, pearlite , steel , supercooling",Metal or alloy,Fe-C-X,"Fe, C 0.8 (wt%)",,,Slow cooled,,,Reflected light microscopy,200 μm,"This steel is of the eutectoid composition. Once the temperature is lowered below the eutectoid temperature the steel becomes simultaneously supersaturated with both ferrite and cementite. A eutectoid transformation results (g to a + Fe3C). The resultant microstructure, known as pearlite, comprises lamellae of cementite (dark) embedded in ferrite (white). The platelets are parallel to each other and do not follow a specific crystallographic direction.

Each pearlite colony is made up of a number of subgrains. Thus each pearlite colony consists of two interpenetrating single crystals having an orientation relationship with respect to each other and with respect to the austenite grain they grow from, but not with respect to the austenite grain they have grown into. Changes in the apparent interlamellar spacing from colony to colony in the photograph are due to differences in the lamellae spacing with respect to the polished surface.

The coarseness of the pearlite is determined by the interlamellar spacing. This spacing is inversely proportional to the undercooling. This is primarily because of the increased rate of carbide nucleation with increased undercooling.

The pearlite in this sample is coarse due to it being slowly cooled. The undercooling is low so the lamellae spacing is relatively large resulting in a coarse microstructure.",Prof T W Clyne,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000014.jpg,./miclib_output/images/000014.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=14
15,"Fe, C 0.8 (wt%), eutectoid transformation - pearlite (coarse)","alloy , austenite , carbon, cementite , eutectoid reaction , ferrite , iron, lamella , metal, pearlite , steel , supercooling",Metal or alloy,Fe-C-X,"Fe, C 0.8 (wt%)",,,Slow cooled,,,Reflected light microscopy,40 μm,"This steel is of the eutectoid composition. Once the temperature is lowered below the eutectoid temperature the steel becomes simultaneously supersaturated with both ferrite and cementite. A eutectoid transformation results (g to a + Fe3C). The resultant microstructure, known as pearlite, comprises lamellae of cementite (dark) embedded in ferrite (white). The platelets are parallel to each other and do not follow a specific crystallographic direction.

Each pearlite colony is made up of a number of subgrains. Thus each pearlite colony consists of two interpenetrating single crystals having an orientation relationship with respect to each other and with respect to the austenite grain they grow from, but not with respect to the austenite grain they have grown into. Changes in the apparent interlamellar spacing from colony to colony in the photograph are due to differences in the lamellae spacing with respect to the polished surface.

The coarseness of the pearlite is determined by the interlamellar spacing. This spacing is inversely proportional to the undercooling. This is primarily because of the increased rate of carbide nucleation with increased undercooling.

The pearlite in this sample is coarse due to it being slowly cooled. The undercooling is low so the lamellae spacing is relatively large resulting in a coarse microstructure.",Prof T W Clyne,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000015.jpg,./miclib_output/images/000015.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=15
16,"Fe, C 0.8 (wt%), eutectoid transformation - pearlite (coarse)","alloy , austenite , carbon, cementite , eutectoid reaction , ferrite , iron, lamella , metal, pearlite , steel , supercooling",Metal or alloy,Fe-C-X,"Fe, C 0.8 (wt%)",,,Slow cooled,,,Reflected light microscopy,80 μm,"This steel is of the eutectoid composition. Once the temperature is lowered below the eutectoid temperature the steel becomes simultaneously supersaturated with both ferrite and cementite. A eutectoid transformation results (g to a + Fe3C). The resultant microstructure, known as pearlite, comprises lamellae of cementite (dark) embedded in ferrite (white). The platelets are parallel to each other and do not follow a specific crystallographic direction.

Each pearlite colony is made up of a number of subgrains. Thus each pearlite colony consists of two interpenetrating single crystals having an orientation relationship with respect to each other and with respect to the austenite grain they grow from, but not with respect to the austenite grain they have grown into. Changes in the apparent interlamellar spacing from colony to colony in the photograph are due to differences in the lamellae spacing with respect to the polished surface.

The coarseness of the pearlite is determined by the interlamellar spacing. This spacing is inversely proportional to the undercooling. This is primarily because of the increased rate of carbide nucleation with increased undercooling.

The pearlite in this sample is coarse due to it being slowly cooled. The undercooling is low so the lamellae spacing is relatively large resulting in a coarse microstructure. Each pearlite colony is made up of a number of subgrains. Thus each pearlite colony consists of two interpenetrating single crystals having an orientation relationship with respect to each other and with respect to the austenite grain they grow from, but not with respect to the austenite grain they have grown into. Changes in the apparent interlamellar spacing from colony to colony in the photograph are due to differences in the lamellae spacing with respect to the polished surface.

The coarseness of the pearlite is determined by the interlamellar spacing. This spacing is inversely proportional to the undercooling. This is primarily because of the increased rate of carbide nucleation with increased undercooling.

The pearlite in this sample is coarse due to it being slowly cooled. The undercooling is low so the lamellae spacing is relatively large resulting in a coarse microstructure.",Prof T W Clyne,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000016.jpg,./miclib_output/images/000016.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=16
17,"Fe, C 0.1 (wt%), hypoeutectoid alloy","allotriomorph , alloy , austenite , carbon, ferrite , hypoeutectoid , iron, metal, pearlite , proeutectoid steel , steel",Metal or alloy,Fe-C-X,"Fe, C 0.1 (wt%)",,,Normalised,,Etched in 3% nital,Reflected light microscopy,400 μm,"This is a hypoeutectoid alloy, which has been air cooled from the austenite phase field at 950 Â°C. The first solid to form is proeutectoid ferrite, its morphology being determined by the cooling rate. At slow cooling rates (furnace cooling) there is sufficient time for the carbon rejected from the austenite to diffuse and equilibrium solidification occurs. With faster cooling the microstructure also depends on the original austenite grain size.

Fast cooling and large grain size favours ferrite forming as WidmanstÃ¤tten side plates from the grain boundaries. Small grain sizes imply a high number of nuclei and hence the ferrite grows as grain boundary allotriomorphs. In this case air cooling is sufficiently slow to produce allotriomorphic ferrite. The majority of the austenite has changed to ferrite leaving only a small amount to be transformed to pearlite, therefore the microstructure shows large ferrite grains with small islands of pearlite.",Prof T W Clyne,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000017.jpg,./miclib_output/images/000017.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=17
18,"Fe, C 0.1 (wt%), hypoeutectoid alloy","allotriomorph , alloy , austenite , carbon, ferrite , hypoeutectoid , iron, metal, pearlite , proeutectoid steel , steel",Metal or alloy,Fe-C-X,"Fe, C 0.1 (wt%)",,,Normalised,,Etched in 3% nital,Reflected light microscopy,40 μm,"This is a hypoeutectoid alloy, which has been air cooled from the austenite phase field at 950 Â°C. The first solid to form is proeutectoid ferrite, its morphology being determined by the cooling rate. At slow cooling rates (furnace cooling) there is sufficient time for the carbon rejected from the austenite to diffuse and equilibrium solidification occurs. With faster cooling the microstructure also depends on the original austenite grain size.

Fast cooling and large grain size favours ferrite forming as WidmanstÃ¤tten side plates from the grain boundaries. Small grain sizes imply a high number of nuclei and hence the ferrite grows as grain boundary allotriomorphs. In this case air cooling is sufficiently slow to produce allotriomorphic ferrite. The majority of the austenite has changed to ferrite leaving only a small amount to be transformed to pearlite, therefore the microstructure shows large ferrite grains with small islands of pearlite.",Prof T W Clyne,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000018.jpg,./miclib_output/images/000018.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=18
19,"Fe, C 0.1 (wt%), hypoeutectoid alloy","alloy , carbon, cementite , ferrite , hypoeutectoid , iron, metal, pearlite , proeutectoid steel , steel",Metal or alloy,Fe-C-X,"Fe, C 0.1 (wt%)",,,Normalised,,Etched in 3% nital,Scanning electron microscopy (SEM),30 μm,"This SEM image shows that the ferrite phase in the pearlite has been selectively etched compared to the cementite. The cementite phase appears to protrude from the surface. Within the pearlite region there are several colonies in different orientations, indicating that the pearlite nucleated on grains of the primary ferrite.",Prof T W Clyne,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000019.jpg,./miclib_output/images/000019.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=19
20,"Fe, C 0.1 (wt%), hypoeutectoid alloy","alloy , carbon, cementite , ferrite , hypoeutectoid , iron, metal, pearlite , proeutectoid steel , steel",Metal or alloy,Fe-C-X,"Fe, C 0.1 (wt%)",,,Normalised,,Etched in 3% nital,Scanning electron microscopy (SEM),10 μm,"This SEM image of a pearlite region in the microstructure shown in micrograph no 19 shows that the ferrite phase in the pearlite has been selectively etched compared to the cementite. The cementite phase appears to protrude from the surface. Within such A pearlite region there are several colonies in different orientations, indicating that the pearlite nucleated on grains of the primary ferrite.",Prof T W Clyne,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000020.jpg,./miclib_output/images/000020.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=20
21,"Fe, C 1.0 (wt%), hypereutectoid alloy","alloy , carbon, cementite , hypereutectoid , iron, metal, steel , Widmanstätten",Metal or alloy,Fe-C-X,"Fe, C 1.0 (wt%)",,,Normalised,,Etched in 3% nital,Reflected light microscopy,400 μm,This is a hypereutectoid alloy and illustrates the effect of a fast cooling rate on the resultant microstructure. The first phase to form from the austenite is proeutectoid cementite. With faster cooling there is less time for carbon to diffuse and the microstructure is more refined and may form the initial cementite as WidmanstÃ¤tten side plates.,Prof T W Clyne,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000021.jpg,./miclib_output/images/000021.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=21
22,"Fe, C 1.0 (wt%), hypereutectoid alloy","alloy , carbon, cementite , hypereutectoid , iron, metal, steel , Widmanstätten",Metal or alloy,Fe-C-X,"Fe, C 1.0 (wt%)",,,Normalised,,Etched in 3% nital,Reflected light microscopy,40 μm,This is a hypereutectoid alloy and illustrates the effect of a fast cooling rate on the resultant microstructure. The first phase to form from the austenite is proeutectoid cementite. With faster cooling there is less time for carbon to diffuse and the microstructure is more refined and may form the initial cementite as WidmanstÃ¤tten side plates.,Prof T W Clyne,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000022.jpg,./miclib_output/images/000022.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=22
23,"Fe, C 1.0 (wt%), hypereutectoid alloy","alloy , austenite , carbon, cementite , ferrite , hypereutectoid , iron, metal, pearlite , steel",Metal or alloy,Fe-C-X,"Fe, C 1.0 (wt%)",,,Normalised,,Etched in 3% nital,Scanning electron microscopy (SEM),50 μm,"This secondary electron SEM image shows the cementite delineating prior austenite grain boundaries with a thin layer. The amount of proeutectoid phase is very low, with the majority of the area being taken by the pearlite eutectoid. Again each pearlite cell has a different orientation with the ferrite phase being selectively etched.",Prof T W Clyne,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000023.jpg,./miclib_output/images/000023.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=23
24,"Fe, C 1.0 (wt%), hypereutectoid alloy","alloy , austenite , carbon, cementite , ferrite , hypereutectoid , iron, metal, pearlite , steel",Metal or alloy,Fe-C-X,"Fe, C 1.0 (wt%)",,,Normalised,,Etched in 3% nital,Scanning electron microscopy (SEM),10 μm,"This secondary electron SEM image shows the cementite delineating prior austenite grain boundaries with a thin layer. The amount of proeutectoid phase is very low, with the majority of the area being taken by the pearlite eutectoid. Again each pearlite cell has a different orientation with the ferrite phase being selectively etched.",Prof T W Clyne,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000024.jpg,./miclib_output/images/000024.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=24
25,"Fe, C 0.85 (wt%), hypereutectoid alloy","allotriomorph , alloy , carbon, cementite , hypereutectoid , iron, metal, steel",Metal or alloy,Fe-C-X,"Fe, C 0.85 (wt%)",,,Furnace cooled from 1000 °C,,Etched in 2% nital,Reflected light microscopy,400 μm,"This is a hypereutectoid alloy and illustrates the effect of slow cooling rate on the resultant microstructure. The first phase to form from the melt is proeutectoid cementite. With slow cooling, furnace cooled, allotriomorph cementite forms on the prior austenite grain boundaries, rejecting iron into the melt. At the eutectoid composition the remaining austenite transforms to pearlite.",Prof T W Clyne,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000025.jpg,./miclib_output/images/000025.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=25
26,"Fe, C 0.85 (wt%), hypereutectoid alloy","allotriomorph , alloy , carbon, cementite , hypereutectoid , iron, metal, steel",Metal or alloy,Fe-C-X,"Fe, C 0.85 (wt%)",,,Furnace cooled from 1000 °C,,Etched in 2% nital,Reflected light microscopy,40 μm,"This is a hypereutectoid alloy and illustrates the effect of slow cooling rate on the resultant microstructure. The first phase to form from the melt is proeutectoid cementite. With slow cooling, furnace cooled, allotriomorph cementite forms on the prior austenite grain boundaries, rejecting iron into the melt. At the eutectoid composition the remaining austenite transforms to pearlite.",Prof T W Clyne,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000026.jpg,./miclib_output/images/000026.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=26
27,"Fe, C 0.9 (wt%), martensite","alloy , carbon, iron, martensite , metal, metastable , steel",Metal or alloy,Fe-C-X,"Fe, C 0.9 (wt%)",,,Water quenched from 800 °C,,Etched in 3% nital,Reflected light microscopy,40 μm,Martensite is a metastable supersaturated solid solution of C in steel. The excess carbon atoms sufficiently strain the matrix to produce a b.c.t (body centred tetragonal) structure. In order to minimise interfacial strain between the parent austenite and the transforming martensite the martensites assume a lath or needle shape.,Prof T W Clyne,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000027.jpg,./miclib_output/images/000027.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=27
28,"Fe, C 0.9 (wt%), martensite","alloy , carbon, iron, martensite , metal, steel",Metal or alloy,Fe-C-X,"Fe, C 0.9 (wt%)",,,Water quenched from 800 °C,,Etched in 3% nital,Scanning electron microscopy (SEM),10 μm,This SEM image of the martensite microstructure clearly shows the intermingled laths.,Prof T W Clyne,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000028.jpg,./miclib_output/images/000028.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=28
29,"Cu 70, Zn 30 (wt%), annealed and cold rolled","alloy , annealing , brass , copper, dislocation , metal, slip band , zinc",Metal or alloy,Cu-Zn,"Cu 70, Zn 30 (wt%)",,,Annealed and cold rolled 50%,,,Reflected light microscopy,400 μm,"This sample was annealed and 50% cold rolled to give a highly deformed structure with a high dislocation density, illustrated by the large number of persistent slip bands.",Prof T W Clyne,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000029.jpg,./miclib_output/images/000029.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=29
30,"Cu 70, Zn 30 (wt%), annealed and cold rolled","alloy , annealing , brass , copper, dislocation , metal, slip band , zinc",Metal or alloy,Cu-Zn,"Cu 70, Zn 30 (wt%)",,,Annealed and cold rolled 50%,,,Reflected light microscopy,40 μm,"This sample was annealed and 50% cold rolled to give a highly deformed structure with a high dislocation density, illustrated by the large number of persistent slip bands.",Prof T W Clyne,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000030.jpg,./miclib_output/images/000030.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=30
31,"Cu 70, Zn 30 (wt%), partial recrystallisation - annealing twins","alloy , annealing , brass , copper, metal, partial recrystallisation , recrystallisation , twinning , zinc",Metal or alloy,Cu-Zn,"Cu 70, Zn 30 (wt%)",,,"Annealed, cold rolled 50% and annealed again for 30 minutes at 600 °C",,,Reflected light microscopy,400 μm,"This sample was annealed and 50% cold rolled, with subsequent annealing for 30 minutes at 600 Â°C. This has caused partial recrystallisation to occur creating new dislocation-free grains with some annealing twins. The temperature is too low for significant grain growth preventing complete recrystallisation.",Prof T W Clyne,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000031.jpg,./miclib_output/images/000031.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=31
32,"Cu 70, Zn 30 (wt%), partial recrystallisation - annealing twins","alloy , annealing , brass , copper, metal, partial recrystallisation , recrystallisation , twinning , zinc",Metal or alloy,Cu-Zn,"Cu 70, Zn 30 (wt%)",,,"Annealed, cold rolled 50% and annealed again for 30 minutes at 600 °C",,,Reflected light microscopy,40 μm,"This sample was annealed and 50% cold rolled, with subsequent annealing for 30 minutes at 600 Â°C. This has caused partial recrystallisation to occur creating new dislocation-free grains with some annealing twins. The temperature is too low for significant grain growth preventing complete recrystallisation.",Prof T W Clyne,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000032.jpg,./miclib_output/images/000032.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=32
